alias,rut,codigo_proveedor
Salud Asistencia,96863010-5,36142
Help,96565480-1,27237
Ambulancias Las Lilas,9580114-5,154706
UCM,88670700-2,104532
EMI La Serena,78781940-0,147323
Seguridad y Salud Sur,77912490-8,1011791
IMS Ambulancias,77667566-0,1850877
Oligri SPA,77562308-K,1815871
Salud y Seguridad Lickan Antai,77422607-9,1796844
Ambulancias Wallace,77418797-9,1839384
Ambulancias Urban,77188378-8,1745511
EMT Services Spa,77171609-1,1735440
Ambulancias Medical Progress,77107793-5,1734755
Auxilia,77078150-7,275473
Ambulancias Falcon Spa,76937322-5,1739278
Ambulancias Vital Red Ñuble,76915243-1,1660460
Senpro,76877450-1,1103942
Ambulancias Temuco Spa,76871816-4,1648829
Clinicas Moviles RDS SpA,76867722-0,1653924
Movicare,76847600-4,254729
Ambulancias y Rescate Spa,76811235-5,1593058
Traslado Ambulatorio Spa,76776811-7,1664336
Ambulancias CV Salud,76725359-1,1569456
Ambulancias Codigo Azul,76720976-2,1683992
Respuesta Medica del Norte,76719404-8,1650776
Ambulancias Clave 100,76652918-6,1567539
Support Care Ambulancias,76633351-6,1537971
Vera y Hola,76572290-K,1378839
Altamira Consultores Ltda,76554260-K,1064315
Vital Service S.A.,76553631-6,1565097
EMS Lifecare,76540070-8,205289
Sofimed,76532118-2,1479981
Javier Antipa,76511677-5,1494461
Santa Lucia,76489302-6,1481441
Ambulancias San Felipe,76486171-K,1494885
Ambulancias Medical-Life,76479211-4,1467495
Ambulancias S.O.S Medical,76439569-7,1427389
Ambulancias Life Rescue,76437315-4,1486322
Segurisur Medical,76399177-6,1437269
Ambulancias REM Ltda,76378420-7,170229
Ambulancias Viña del Mar,76340330-0,161647
Rescate Familiar,76311376-0,1629979
Ambulancias Patagonia,76294302-6,1366582
Red Nacional de Servicios integrales SpA,76279333-4,1464367
Rescate Tarapaca,76251295-5,1402854
Trasmed SpA,76250804-4,1346777
Transalud Chile,76241573-9,1855990
Ambulancias Monumental,76235809-3,1357432
Ambulancias SAP Rancagua,76234742-3,1719788
Maxicare,76232412-1,1401223
Ambulancias Santiago Limitada,76199233-3,1305505
Life Med,76157848-0,1299681
Clinica Hogar Buena Salud SPA,76149524-0,1323888
Ambulancias Medical Help,76136111-2,1238446
Servicio de Ambulancia y Taslado de Enfermos Spa,76113262-8,1235087
Ambulancias Araucania,76110287-7,1262946
Ambulancias Sur Alianza,76073036-K,1206243
Centro Medico Geovida Ltda,76067258-8,
Suatrans Chile S.A.,76047102-K,1143861
Genesis,76023890-2,86735
Emergencia Movil SATT,76016372-4,1008566
Rest911,76015696-5,1139248
Ambulancias JM Salud Integral,7457788-1,1374646
Ambulancias Rescate del Sur,7100175-K,1272686
SPE Servicios,6733864-2,261421
Ambulancias Galaxia,5366407-5,114866
Ambulancias AHP,4733966-9,1069672
Ambulancias Cruz del Mar,18586134-1,1226568
Ambulancias ATM,13314061-1,1281398
Ambulancias Cruz del Sur,11746718-K,134834
Ambulancias Santa Fe,11650554-1,30592
Ambulancias Eben-Ezer,11469355-3,112877
Ambulancias San Fernando,10662147-0,1352898
ESACHS Transportes,76198822-0,1300928
ESACHS Servicios,99579260-5,204953
